测试9906,#genre#
东森新闻[HD],mitv://147.135.39.171:9906/5eb29b85000e2d4e0f44a539793f250c.ts
东森财经新闻[HD],mitv://147.135.39.171:9906/5eec88f90004b79cf18c98952f812d55.ts
东森亚洲,mitv://147.135.39.171:9906/5ede6859000be2b3ba5d17d529f60875.ts
东森综合[HD],mitv://147.135.39.171:9906/5eb29b860006eefb0f44a74c7d3950ab.ts
东森超视[HD],mitv://147.135.39.171:9906/5e7cf271000168dd3da7beac2d47191e.ts
东森幼幼[HD],mitv://147.135.39.171:9906/5e7cf98d000118463dc383fc2a2c3dc9.ts
东森戏剧[HD],mitv://147.135.39.171:9906/5eb29b86000c614d0f44a8b302d67a7e.ts
东森电影[HD],mitv://147.135.39.171:9906/5defe13e0007d9d56eba3f090a5f5661.ts
东森洋片[HD],mitv://147.135.39.171:9906/5ea13baf000efb4ecb66256578d5166f.ts
中天新闻[HD],mitv://147.135.39.171:9906/5eec7db90008195bf160a77f5d316f05.ts
中天综合,mitv://147.135.39.171:9906/5e7cf98b000f2c2a3dc37fc6663e2451.ts
中天娱乐[HD],mitv://147.135.39.171:9906/5defdaa0000974136ea066475c980b2d.ts


测试,#genre#
华丽台HD,p2p://fccsovh.pvbox.live:18912/5b3c4fa10001acfa627f067273f636b0
天映经典HD,p2p://fccsovh.pvbox.live:18912/5b3c4f9b00031383627eef60721e1738
ELTA体育3HD,p2p://190.2.146.92:18912/5c7249f7000966361d58752a73813a0e.ts
TVBS新闻台HD,p2p://190.2.146.92:18912/5c7249c2000e510f1d57a75a30592ee2.ts
非凡新闻HD,p2p://190.2.146.92:18912/5c7249cb000744bc1d57c8bd53377361.ts
东森新闻HD,p2p://190.2.146.92:18912/5c7248a0000383701d5337cb153b4b51.ts
东森电影HD,p2p://190.2.146.92:18912/5c7249d3000cb8ea1d57e9650d7148b7.ts
美亚电影台HD,p2p://190.2.146.92:18912/5c724a0e000442831d58cdaa6a2c5c52.ts
星卫HD电影台,p2p://190.2.146.92:18912/5c724a05000626a61d58aaff0c3f3175.ts
纬来电影台HD,p2p://190.2.146.92:18912/5c7249d80003096d1d57fa6c33601be9.ts
纬来戏剧HD,p2p://190.2.146.92:18912/5c72488e000bae061d52f38e705751dd.ts
东森戏剧HD,p2p://190.2.146.92:18912/5c724882000704081d52c386798d4d25.ts
TVBS欢乐台HD,p2p://190.2.146.92:18912/5c72488a000a56b71d52e3a07060345e.ts
TVBS精采台HD,p2p://190.2.146.92:18912/5bdbf3b20000e966d2177540400d0818.ts
东森综合HD,p2p://190.2.146.92:18912/5c724877000e7b2d1d529a721b487255.ts
中视HD,p2p://190.2.146.92:18912/5c72484b000b1d091d51edb7087b7686.ts
民视HD,p2p://190.2.146.92:18912/5c72483f0003db4b1d51bcf349367c26.ts
JET综合,p2p://190.2.146.92:18912/5c724892000e3e1c1d5303da4a3c6c26.ts







